host_id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2005696,"CadaquÃ©s, Spain",within an hour,93%,42%,f,6,6,t,t,42.28822,3.28138,Entire loft,Entire home/apt,2,1,1,0,160,4,1125,4,4,1125,1125,4,1125,t,29,59,89,179,101,6,0,4,4,4,4,4,5,4,t,6,6,0,0,1
2005696,"CadaquÃ©s, Spain",within an hour,93%,42%,f,6,6,t,t,42.29017,3.28065,Entire loft,Entire home/apt,2,1,0,2,169,2,365,2,2,365,365,2,365,t,30,60,90,365,95,5,0,4,4,5,4,4,5,4,t,6,6,0,0,1
2005696,"CadaquÃ©s, Spain",within an hour,93%,42%,f,6,6,t,t,42.28877,3.28051,Entire rental unit,Entire home/apt,3,1,1,2,189,4,365,3,3,365,365,3,365,t,28,58,88,363,52,8,0,4,4,5,5,4,5,4,t,6,6,0,0,0
1030877,"San Francisco, CA",within an hour,100%,96%,f,3,5,t,t,41.95543,3.01035,Entire home,Entire home/apt,10,4,4,7,468,4,270,4,7,1125,1125,4,1125,t,28,58,86,326,62,2,0,5,5,5,5,5,5,5,t,3,3,0,0,0
5445384,"Vidreres, Spain",within an hour,100%,100%,t,1,1,t,t,41.79962,2.7859,Entire guest suite,Entire home/apt,2,1,1,1,90,2,20,2,2,20,20,2,20,t,14,39,69,277,246,22,0,5,5,5,5,5,5,5,f,1,1,0,0,2
5446929,"Lloret de Mar, Spain",within an hour,93%,89%,f,1,1,t,t,41.71008,2.88945,Entire villa,Entire home/apt,16,2,4,11,787,7,60,3,7,60,60,6,60,t,30,60,90,90,0,0,0,5,5,5,5,5,5,4,t,1,1,0,0,1
5344604,"Barcelona, Spain",within a day,50%,0%,f,1,1,t,t,42.37434,3.15783,Entire rental unit,Entire home/apt,6,2,3,4,75,3,90,3,3,90,90,3,90,t,0,0,1,1,6,0,0,5,5,5,5,5,5,4,f,1,1,0,0,0
5499707,"Girona, Spain",within a few hours,100%,64%,f,2,2,t,t,41.98188,2.8123,Private room in condo,Private room,2,1,1,1,41,2,30,2,2,30,30,2,30,t,18,48,78,340,244,1,0,5,5,5,5,5,5,5,f,2,0,2,0,2
3491250,"LlanÃ§Ã , Spain",within an hour,93%,50%,f,1,1,t,t,42.36913,3.15825,Entire rental unit,Entire home/apt,5,2,2,3,90,4,60,4,4,60,60,4,60,t,26,56,86,177,22,1,0,5,5,5,5,5,5,5,f,1,1,0,0,0
2184774,"Haarlem, Netherlands",within an hour,93%,89%,f,1,1,t,t,42.28639,3.29781,Entire rental unit,Entire home/apt,5,2,3,5,219,7,270,7,7,270,270,7,270,t,24,54,84,298,22,0,0,5,5,5,5,5,5,5,f,1,1,0,0,0
5747664,"Santa Coloma de Farners, Spain",within a few hours,100%,39%,f,1,1,t,t,42.2671,3.17892,Entire rental unit,Entire home/apt,5,1,1,4,100,2,1125,2,2,1125,1125,2,1125,t,28,58,88,342,105,4,0,5,5,5,5,5,5,5,f,1,1,0,0,1
5261900,"CadaquÃ©s, Spain",within a few hours,90%,87%,t,6,7,t,t,42.28866,3.27551,Entire home,Entire home/apt,8,2,4,7,376,5,1125,2,6,1125,1125,4,1125,t,29,59,89,317,35,8,0,5,5,5,5,5,5,5,f,6,6,0,0,0
1817196,Spain,within an hour,93%,0%,f,1,4,t,t,42.08096,3.10347,Entire rental unit,Entire home/apt,5,1,3,3,85,30,60,30,30,60,60,30,60,t,0,0,0,184,11,0,0,5,5,5,5,5,5,5,f,1,1,0,0,0
5499707,"Girona, Spain",within a few hours,100%,64%,f,2,2,t,t,41.98098,2.81405,Private room in condo,Private room,1,1,1,1,34,2,45,2,2,45,45,2,45,t,22,25,54,312,257,15,0,5,5,5,5,5,5,5,f,2,0,2,0,2
1298586,"Tossa de Mar, Spain",within an hour,91%,95%,t,127,130,t,t,41.72036,2.93164,Entire rental unit,Entire home/apt,4,1,1,1,129,1,365,2,7,365,365,3,365,t,30,60,90,365,58,15,0,5,5,5,5,5,5,4,t,113,113,0,0,0
2176453,"Figueres, Spain",within a few hours,100%,100%,f,2,3,t,t,42.38554,2.744854,Entire villa,Entire home/apt,8,2,4,8,473,2,30,2,7,365,365,4,365,t,24,54,84,267,22,4,0,5,5,5,5,5,5,5,t,2,2,0,0,0
2176194,"Catalonia, Spain",within a few hours,100%,92%,f,2,2,t,t,42.12328,3.13526,Entire rental unit,Entire home/apt,4,1,2,3,96,5,1125,5,5,1125,1125,5,1125,t,28,58,88,332,93,7,0,5,5,5,5,5,5,5,f,1,1,0,0,1
1835625,"BesalÃº, Spain",within an hour,90%,100%,f,2,2,t,t,42.21298,2.60775,Entire home,Entire home/apt,12,3,4,15,157,2,1125,2,2,1125,1125,2,1125,t,29,59,89,361,69,7,1,4,4,4,5,5,5,4,t,2,2,0,0,1
2264291,"Toulouse, France",within an hour,93%,100%,f,1,4,t,t,42.36810684,3.164148092,Entire rental unit,Entire home/apt,4,1,1,2,60,3,100,3,99,100,100,17,100,t,30,60,90,180,64,3,0,4,5,4,4,5,5,4,f,1,1,0,0,0
2281859,"Moscow, Russia",within an hour,93%,89%,f,1,2,t,t,41.79249,3.02312,Entire rental unit,Entire home/apt,6,1,2,4,67,2,20,2,2,1125,1125,2,1125,t,0,0,0,0,54,0,0,5,5,5,5,5,4,5,t,1,1,0,0,0
5811951,"Viladamat, Spain",within a day,100%,0%,f,2,2,t,t,42.13362,3.07475,Entire home,Entire home/apt,6,2,3,4,150,6,15,4,4,15,15,4,15,t,1,1,31,157,16,0,0,5,5,4,5,5,5,4,f,2,1,1,0,0
5812462,"Barcelona, Spain",within an hour,93%,80%,f,1,1,t,t,41.92963,3.12959,Entire home,Entire home/apt,6,2,4,4,339,4,60,3,7,60,60,4,60,t,29,59,89,335,32,2,0,5,5,4,5,5,5,4,f,1,1,0,0,0
5842034,"Calabuig, Spain",within a day,60%,20%,f,3,3,t,t,42.15044,2.92883,Entire chalet,Entire home/apt,7,1,3,5,206,3,30,2,2,30,30,2,30,t,29,59,89,354,7,0,0,5,5,4,5,5,5,5,f,3,1,2,0,0
5893073,"Torroella de MontgrÃ­, Spain",within an hour,93%,89%,f,1,3,t,f,42.0554,3.20371,Entire rental unit,Entire home/apt,6,1,2,3,91,2,28,2,7,28,28,4,28,t,28,58,88,335,9,0,0,4,4,4,5,4,5,4,f,1,1,0,0,0
1830359,"London, United Kingdom",within an hour,93%,89%,f,2,2,t,t,41.79542,3.05272,Entire rental unit,Entire home/apt,7,2,3,6,575,14,60,14,14,60,60,14,60,t,27,57,87,362,0,0,0,5,5,5,5,5,5,4,f,1,1,0,0,1
5980639,"Barcelona, Spain",a few days or more,0%,89%,f,15,20,t,t,41.84281,2.73959,Entire villa,Entire home/apt,8,2,3,6,240,50,1125,50,50,1125,1125,50,1125,t,29,59,89,364,1,0,0,4,5,3,5,5,4,5,f,10,10,0,0,0
5007417,,within a day,60%,15%,f,4,4,t,t,42.04219,3.19198,Entire rental unit,Entire home/apt,6,1,2,5,50,1,1125,1,1,1125,1125,1,1125,t,0,1,31,257,18,1,0,4,4,4,4,4,5,4,f,4,4,0,0,0
6021858,"Cabanelles, Spain",within a day,86%,100%,f,1,2,t,t,42.2687943,2.7713753,Entire cottage,Entire home/apt,5,2,3,5,129,2,30,1,7,30,30,2,30,t,25,55,85,358,1,1,0,5,5,5,5,5,5,5,f,1,1,0,0,1
6093699,,within an hour,100%,100%,f,2,3,t,t,42.25694,2.9665,Entire rental unit,Entire home/apt,4,2,2,3,64,1,30,1,1,1125,1125,1,1125,t,26,56,86,359,1054,110,8,4,5,5,5,5,5,5,f,2,2,0,0,7
